school_id,school_name,district,software_name,license_type,licenses_purchased,licenses_assigned,licenses_used,last_used_date,renewal_date,annual_cost,grade_band,0
SCH001,Oak Ridge Elementary,Wake County,Google Workspace,Per User,613,429,271,2024-03-12,2024-06-02,13486,Elementary,
SCH001,Oak Ridge Elementary,Wake County,PowerSchool,Site License,914,564,297,2024-02-17,2024-07-07,10968,Elementary,
SCH005,Riverside High,Durham County,PowerSchool,Site License,104,97,60,2024-11-28,2025-10-03,1872,High,
SCH002,Pine Valley High,Wake County,Canvas,Site License,1256,895,861,2024-01-04,2024-04-24,22608,Middle,
SCH003,Cedar Grove High,Wake County,iReady,Per Student,368,275,223,2024-02-22,2024-05-09,6256,High,
SCH001,Oak Ridge Elementary,Wake County,iReady,Per Student,754,587,315,2024-08-23,2025-06-23,6032,Elementary,
SCH004,Maple Leaf Elementary,Durham County,Google Workspace,Per User,1180,858,853,2024-11-17,2025-10-29,18880,Elementary,
SCH005,Riverside High,Durham County,Microsoft 365,Per User,1492,966,506,2024-12-04,2025-04-29,20888,High,
SCH001,Oak Ridge Elementary,Wake County,Microsoft 365,Per User,256,201,135,2024-08-20,2025-08-10,4096,Elementary,
SCH002,Pine Valley High,Wake County,iReady,Per Student,777,573,422,2024-12-25,2025-12-21,5439,Middle,
SCH005,Riverside High,Durham County,Zoom,Per Host,400,376,374,2024-05-05,2024-08-26,7600,High,
SCH004,Maple Leaf Elementary,Durham County,iReady,Per Student,1360,1040,852,2024-01-29,2024-06-24,8160,Elementary,
SCH003,Cedar Grove High,Wake County,Canvas,Site License,598,374,241,2024-10-17,2025-04-26,6578,High,
SCH004,Maple Leaf Elementary,Durham County,Canvas,Site License,1366,1288,790,2024-05-15,2024-08-24,16392,Elementary,
SCH005,Riverside High,Durham County,PowerSchool,Site License,588,543,490,2024-10-25,2025-06-16,9408,High,
SCH002,Pine Valley High,Wake County,Microsoft 365,Per User,1093,907,499,2024-01-25,2024-04-20,9837,Middle,
SCH002,Pine Valley High,Wake County,Zoom,Per Host,914,853,458,2024-07-16,2025-02-26,21936,Middle,
